name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAL1	-24.88	0.48	-21.8	6.41	ADTech	depthAmgL	L	1x8
mAL2	-28.92	-2.27	-20.76	6.41	ADTech	depthAmgL	L	1x8
