name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAL1	-30.15	-2.57	-18.82	6.41	ADTech	depthAmgL	L	1x8
mAL2	-35.51	-2.95	-19.99	6.41	ADTech	depthAmgL	L	1x8
mAR1	23.87	-1.8	-21.13	6.41	ADTech	depthAmgR	R	1x8
mAR2	28.44	-1.34	-23.42	6.41	ADTech	depthAmgR	R	1x8
