name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAL1	-18.59	-5.05	-15.15	6.41	ADTech	depthAmgL	L	1x8
mAL2	-21.75	-5.4	-16.02	6.41	ADTech	depthAmgL	L	1x8
mAR1	22.46	-5.8	-17.18	6.41	ADTech	depthAmgR	R	1x8
mAR2	30.53	-3.35	-19.62	6.41	ADTech	depthAmgR	R	1x8
