NWB file name,NWB file size (GB),Recording duration (min),Cortical area,Single unit yield,Average signal-to-noise ratio of single units,Power spectral density at 50 Hz (dB/Hz),50 Hz/49 Hz ratio,RMS noise level (300 - 6000 Hz),RMS signal level (300 - 6000 Hz)
Rat13_Insertion1_Depth2,7.05,31.04,S1Tr,138,14.30,34.49,1.25,4.26,18.42
Rat13_Insertion1_Depth3,6.63,30.36,S1Tr,33,9.95,35.17,1.23,4.82,10.85
Rat13_Insertion2_Depth1,7.02,31.33,M1,58,11.34,34.77,1.38,4.19,14.28
Rat13_Insertion2_Depth2,6.99,30.68,M1,120,13.51,35.76,1.22,4.42,19.66
Rat13_Insertion2_Depth3,7.04,31.78,M1,64,11.78,36.58,1.24,4.91,12.61
Rat14_Insertion1_Depth1,6.41,30.16,S1Tr,19,13.69,22.65,1.24,3.98,8.18
Rat14_Insertion1_Depth2,6.51,30.1,S1Tr,101,16.33,24.45,1.12,3.57,10.81
Rat14_Insertion1_Depth3,6.46,30.05,S1Tr,95,13.83,25.8,1.11,3.79,8.13
Rat14_Insertion2_Depth1,7.09,33.7,M1,8,12.19,23.01,1.23,3.47,5.17
Rat14_Insertion2_Depth2,6.55,30.46,M1,120,18.29,24.66,1.06,3.64,9.45
Rat14_Insertion2_Depth3,6.44,30.08,M1,73,15.82,24.55,1.04,3.71,7.16
Rat15_Insertion1_Depth1,7.91,35.93,PtA,30,18.77,31.6,1.17,4.13,13.19
Rat15_Insertion1_Depth2,6.81,30.96,PtA,113,21.43,32.93,1.17,3.85,17.47
Rat15_Insertion1_Depth3,8.23,37.77,PtA,73,17.96,33.62,1.30,7.22,14.24
Rat15_Insertion2_Depth1,8.3,38.4,PtA,11,9.08,30.71,1.41,7.38,12.54
Rat15_Insertion2_Depth2,7.14,32.42,PtA,66,12.17,32.38,1.17,6.39,14.29
Rat15_Insertion2_Depth3,6.6,30.25,PtA,56,10.10,32.18,1.20,5.64,11.54
Rat16_Insertion1_Depth1,6.41,30.03,S1Tr,7,11.10,36.9,1.78,4.22,7.32
Rat16_Insertion1_Depth2,7.05,32.02,S1Tr,59,13.87,36.63,1.43,4.06,10.12
Rat16_Insertion1_Depth3,9.4,43.19,S1Tr,148,14.25,28.37,1.11,4.07,16.37
Rat16_Insertion1_Depth4,7.19,33.48,S1Tr,52,12.09,30.9,1.06,3.88,7.49
Rat16_Insertion2_Depth1,6.39,30.22,M1,13,12.56,30.3,1.46,3.82,6.29
Rat16_Insertion2_Depth2,6.5,30.05,M1,120,16.22,30.64,1.23,3.59,10.75
Rat16_Insertion2_Depth3,6.38,30.22,M1,56,15.80,31.03,1.19,3.61,6.90
Rat17_Insertion1_Depth1,6.88,30.67,S1Tr,62,18.32,33.39,1.20,4.19,14.69
Rat17_Insertion1_Depth2,7.24,31.5,S1Tr,88,19.01,32.05,1.05,3.93,31.14
Rat17_Insertion1_Depth3,9.28,41.62,S1Tr,79,12.36,30.56,1.11,4.07,15.17
Rat17_Insertion2_Depth1,6.88,31.47,M1,39,13.72,31.66,1.46,3.77,13.33
Rat17_Insertion2_Depth2,7.98,35,M1,120,13.51,33.01,1.09,3.78,20.05
Rat17_Insertion2_Depth3,7.55,34.25,M1,27,9.49,28.34,1.06,3.87,9.33
Rat18_Insertion1_Depth1,6.88,31.07,S1HL,55,19.02,29.51,1.15,3.89,16.75
Rat18_Insertion1_Depth2,6.65,30.02,S1HL,108,15.52,29.39,1.14,3.60,21.14
Rat18_Insertion1_Depth3,6.44,29.8,S1HL,24,13.12,30.65,1.17,3.68,8.67
Rat18_Insertion2_Depth1,7.84,36.33,M1,33,14.33,27.74,1.34,3.86,10.55
Rat18_Insertion2_Depth2,7.79,35.34,M1,108,14.65,29.8,1.12,3.76,16.41
Rat18_Insertion2_Depth3,7.1,32.61,M1,60,11.65,31.46,1.18,4.00,10.22
Rat19_Insertion1_Depth1,9.7,42.84,S1Tr,52,16.20,35.33,1.06,4.39,16.32
Rat19_Insertion1_Depth2,6.87,30.26,S1Tr,138,15.97,33.19,1.07,3.82,16.94
Rat19_Insertion1_Depth3,6.64,30.13,S1Tr,73,14.35,29.09,1.04,3.84,9.80
Rat19_Insertion2_Depth1,6.29,29.41,M1,20,12.59,30.28,1.37,3.53,6.14
Rat19_Insertion2_Depth2,7.1,32.56,M1,53,12.53,31.59,1.26,3.60,7.15
Rat19_Insertion2_Depth3,7.08,32.74,M1,31,11.16,31.42,1.20,3.74,7.29
Rat20_Insertion1_Depth1,6.74,30.89,PtA,56,15.23,31.83,1.27,3.69,9.09
Rat20_Insertion1_Depth2,7.33,33.53,PtA,116,12.37,31.62,1.22,3.60,10.34
Rat20_Insertion1_Depth3,6.79,31.77,PtA,23,11.66,31.25,1.23,3.67,7.09
Rat20_Insertion2_Depth1,8.34,38.87,M1,39,13.36,28.48,1.26,3.51,9.39
Rat20_Insertion2_Depth2,9.06,41.72,M1,99,14.41,30.62,1.25,3.49,11.25
Rat20_Insertion2_Depth3,6.92,32.18,M1,59,13.06,31.41,1.24,3.68,8.27
