name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAL1	-21.92	-5.44	-19.62	6.41	ADTech	depthAmgL	L	1x8
mAL2	-26.2	-4.21	-20.51	6.41	ADTech	depthAmgL	L	1x8
mAR1	26.91	-5.94	-25.01	6.41	ADTech	depthAmgR	R	1x8
mAR2	30.43	-2.57	-26.15	6.41	ADTech	depthAmgR	R	1x8
