name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAL1	-21.93	-5.36	-17.53	6.41	ADTech	depthAmgL	L	1x8
mAL2	-27.68	-5.38	-16.51	6.41	ADTech	depthAmgL	L	1x8
