name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAL1	-20.51	-1.92	-22.85	6.41	ADTech	depthAmgL	L	1x8
mAL2	-26.41	-2.68	-21.6	6.41	ADTech	depthAmgL	L	1x8
