name	x	y	z	size	manufacturer	group	hemisphere	dimension
mAR1	23.2	-5.33	-28.07	6.41	ADTech	depthAmgR	R	1x8
mAR2	28.81	-5.54	-27.18	6.41	ADTech	depthAmgR	R	1x8
