name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch
mAR1	SEEG	uV	0.5	5000	intracranial	depthAmgR	2000	n/a
mAR2	SEEG	uV	0.5	5000	intracranial	depthAmgR	2000	n/a
